SITE_NO	STATION_NM	SAMPLE_START_DT	SAMPLE_END_DT	MEDIUM_CD	RECORD_NO	sum_cat	sum_an	perc.diff	complete.chem	Alk	Ca	Cl	Fe	K	Mg	Mn	Na	SO4	flags
391516106224401	SC00908019BDBB3 BPS-04 BUFFALO PK SEEP NR LEADVILL	2010-09-29 17:15:00	NA	WG 	01006699	1.00945518	1.01010363	-0.0321084979941799	Complete	0.793206	0.4824831	0.01142505	0.00418977	0.02974954	0.37137477	0.000728	0.12093	0.20547258	
391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2010-09-29 18:05:00	NA	WG 	01006700	0.5930473	0.60816865	-1.2588369310281	Complete	0.155844	0.3190606	0.00933751	0.00164726	0.02348244	0.1242579	0.0001456	0.1244535	0.44298714	
391504106225001	SC00908019CBA2 LSGS-0A	2010-09-29 18:30:00	NA	WG 	01006701	0.57553695	0.60307682	-2.33663229643076	Complete	0.281718	0.2758971	0.00970424	0.00136078	0.0246847	0.13931697	3.64e-05	0.134241	0.31165458	
391605106242001	SC00908114AC TLSS-0B	2010-09-28 12:15:00	NA	WG 	01006708	0.27876907	0.33167612	-8.6669615661973	Complete	-0.005994	0.1044906	0.00767312	0.00175469	0.01452944	0.05480514	0.0017472	0.101442	0.329997	Charge imbalance > 5%
391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2010-09-29 16:10:00	NA	WG 	01006714	1.44445143	1.31886372	4.54482037635121	Incomplete	NA	0.6957557	NA	0.00533569	0.03356096	0.38775048	0.1644916	0.157557	1.31886372	
391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2010-09-29 16:40:00	NA	WG 	01006715	1.00206311	0.9726532	1.48932329424068	Complete	0.705294	0.4682117	0.01060696	0.00182631	0.0245568	0.3596073	0.001092	0.146769	0.25675224	
391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2010-09-29 17:30:00	NA	WS 	01006716	0.5243974	0.5152723	0.877692213209637	Complete	0.095904	0.2483024	0.00552916	0.00791401	0.01015526	0.11002173	0.0182	0.129804	0.41383914	
391541106223101	SC00908018CDAD1 WELL NR TURQUOISE LK NR LEADVILLE,	2010-08-27 10:30:00	NA	WG 	01006755	0.00968906	0.00110346	79.5513930018198	Incomplete	NA	0.0076347	NA	0.00053715	0.00035812	0.00090519	3.64e-05	0.0002175	0.00110346	Charge imbalance > 10%
391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2011-06-07 10:00:00	NA	WG 	01102683	0.40941717091	0.41671331	-0.883170305248045	Complete	0.265734	0.2137217	0.00911183	0.00463492411	0.01629446	0.0773526	0.0002779868	0.0971355	0.14186748	
391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2011-06-07 11:05:00	NA	WG 	01102684	1.59735348683	1.8291307	-6.76428667206043	Complete	-0.011988	0.971054	0.00908362	0.00032168123	0.03893276	0.42848403	0.0177515156	0.1408095	1.83203508	Charge imbalance > 5%
