RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	PROJECT_CD	FA	RA	field	Q	Alk	NWQL	isotopes
01305834	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2013-05-30 15:20:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305835	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2013-05-30 16:00:00	WS 	009YD2900							
01305836	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2013-05-30 17:15:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305837	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2013-05-31 09:25:00	WS 	009YD2900							
01305838	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2013-05-31 10:20:00	WS 	009YD2900							
01305839	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2013-05-31 10:50:00	WG 	009YD0200							
01305840	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2013-05-31 12:30:00	WS 	009YD2900							
01305841	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2013-05-31 13:05:00	WG 	009YD0200							
01305842	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2013-05-31 13:40:00	WS 	009YD2900							
01305843	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2013-05-31 14:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305844	391513106230401	DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO	2013-05-31 16:20:00	WG 	009YD0200			00025				
01305845	391512106230401	DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO	2013-05-31 15:56:00	WG 	009YD0200			00025				
01305853	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2013-09-19 10:15:00	WG 	009YD0200							
01305854	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2013-09-19 11:30:00	WG 	009YD0200							
