RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	Fil.greater.Unf	Fil.greater.Unf.10perc	RPD.greater.10perc	RPD.greater.10perc.DL	imbalance.greater.10perc	imbalance.greater.10perc.complete
00603720	391544106235401	SC00908113CDBB1 S-15 MINE SHAFT NR TURQUOISE LK NR	2006-06-08 10:40:00	WG 	0	0			TRUE	TRUE
00603724	391456106232901	SBG-03 STRAWBERRY GULCH 3	2006-06-06 11:02:00	WS 	0	0			TRUE	TRUE
00603725	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2006-06-06 09:52:00	WG 	0	0			TRUE	TRUE
00603726	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2006-06-06 10:22:00	WG 	0	0			TRUE	TRUE
00603727	391513106233601	SC00908124ACBC1 SBGS-04 STRAWBERRY GULCH SEEP 4	2006-06-06 12:05:00	WG 	0	0			TRUE	TRUE
00603728	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2006-06-06 09:25:00	WS 	1	2			FALSE	FALSE
00603729	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2006-07-12 09:40:00	WS 	1	2			TRUE	TRUE
00603730	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2006-08-24 10:15:00	WS 	1	2			TRUE	TRUE
00603731	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2006-06-06 11:25:00	WS 	2	0			TRUE	TRUE
00603732	391500106225501	SC00908019CBAC1 SLGS-01 SUGARLOAF GULCH SEEP 1	2006-06-06 10:00:00	WG 	0	0			TRUE	TRUE
00603733	391509106231901	SC00908124ADCB1 SLGS-02 SUGARLOAF GULCH SEEP 2	2006-06-06 12:05:00	WG 	0	0			TRUE	TRUE
00603734	391517106233601	SC00908124ACBB1 SLGS-03 SUGARLOAF GULCH SEEP 3	2006-06-06 12:27:00	WG 	0	0			TRUE	TRUE
00603735	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2006-06-06 13:20:00	WG 	0	0			TRUE	TRUE
00603736	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2006-06-07 10:21:00	WG 	0	0			TRUE	TRUE
