USGS.SID,Sample.date..yyyymmdd.,Sample.time..hhmm.,medium.code,Sample.end.date..yyyymmdd.,Sample.end.time..hhmm.,00418,29802,63786
391517106223801,20130919,1637,WGQ,,,13,11,13.4e
391504106225201,20130920,940,WS,,,<0.1,-3,<0.1
391512106230001,20130920,1030,WG,,,2.1,-0.4,0.4e
391452106224201,20130920,1000,WS,,,9,7.1,8.7e
391454106224201,20130920,1030,WS,,,2.1,-2,<0.1
391517106230601,20130920,1135,WG,,,18.3,15.6,19
391513106232601,20130920,1230,WG,,,0.3,-2.2,<0.1
391517106230602,20130920,1235,WS,,,1.0,-1.3,<0.1
391517106230602,20130920,1237,WSQ,,,1.1,-1.6,<0.1
391502106230601,20130920,1320,WS,,,<0.1,-8.4,<0.1
391502106230601,20130920,1327,WSQ,,,<0.1,-10.3,<0.1
391501106230601,20130920,1350,WG,,,28.8,26.7,32.7e
391517106230701,20130920,1350,WG,,,2.0,0.3,1.7e
391518106230901,20130920,1430,WG,,,6.7,4.8,6.1e
391504106223001,20130920,1500,WS,,,9.0,7.2,8.8 
391519106230901,20130920,1510,WG,,,<0.1,-2.8,<0.1
391501106225401,20130920,1545,WS,,,<0.1,-8.7,<0.1
391512106230401,20131028,915,WG,,,40.6,38.8,47.3e
391513106230401,20131028,925,WG,,,22.5,20.7,25.4
