USGS SID,Sample date (yyyymmdd),Sample time (hhmm),medium code,01075,01106,01000,01005,00915,01025,01035,01030,01040,01046,00935,01130,00925,01056,01060,00930,01065,01049,00945,00955,01080,22703,01085,01090
391512106230401,20130531,1556,WG,0.09,21.1,11.8,29,157,0.91,12.2,0.48,1.9,35000,2.7,10.9,48.4,30200,0.49,12.1,12.9,0.46,200,15,406,0.02,0.085,5490
391501106230601,20130531,1305,WG,0.683,88.5,13.1,26.5,61.1,0.98,10.5,0.61,1.9,33000,1.5,10,22.5,33700,0.68,6.3,15.1,0.32,110,10,171,0.38,0.54,6880
391502106230601,20130531,1340,WG,1.65,1250,0.5,18.9,21.6,39.1,2.1,0.4,18.3,790,1.5,11.9,5.5,6350,0.3,3.1,13.9,17.2,39,8.2,103,1.75,0.19,5210
391513106232601,20130531,1430,WG,0.212,132,0.5,18.1,8.2,2,0.46,0.27,12.2,330,1.1,7.5,2.2,3530,0.2,2.3,4.4,0.82,16,4.6,43.1,0.098,0.18,1070
391517106223801,20130530,1730,WG,0.146,295,0.5,24.5,16.6,5.4,4.3,0.31,14.1,1600,1.1,4.3,5.3,1860,2.8,3.1,6.3,1,25,6.6,77.4,0.21,0.1,690
391559106230901,20130530,1400,WG,0.04,542,0.5,6.4,7.5,2.8,1.3,0.16,1.7,29,0.66,14.5,8.9,3310,3.9,4,5.2,0.66,24,10,11.3,0.05,0.04,658
391600106235701,20130530,1430,WG,0.03,66.1,0.6,15.4,3.8,1.4,0.05,0.65,2.6,43,0.58,2,1,4.1,0.47,1.3,0.7,0.44,9.4,2.9,26,0.16,0.21,51
391606106241601,20130530,1545,WG,0.392,3040,61.3,5.9,3.8,2.7,5.6,0.64,827,61000,1.3,8.2,1.2,283,2.1,2.2,5.9,6.02,60,9.4,20.1,2.47,2.1,438
391600106235701,20130530,1432,OAQ,0.05,10.6,0.5,0.8,0.06,0.32,0.09,0.14,0.3,31,0.04,12.3,0.011,1.6,0.52,0.16,0.4,0.3,5.3,0.06,0.15,0.02,0.095,4
391435106230801,20130919,1445,WG,0.262,279,3.9,25,37.2,6.7,7.5,0.25,2.9,9100,1.4,8.1,13.7,10100,2,6.2,12.8,5.45,61,12,83.8,1.44,0.17,2710
391435106230801,20130919,1442,OAQ,0.05,16,0.5,0.89,0.13,0.11,0.34,0.36,1.5,40,0.02,2.8,0.019,3,0.32,1.1,2,0.63,0.9,0.06,0.47,0.04,0.01,16.1
391452106224201,20130920,1000,WS,0.06,53.6,1,6.4,4.2,0.19,0.32,0.27,2.2,320,0.36,8.3,0.96,149,0.43,2.1,0.8,1.5,0.9,1.8,19.7,0.58,0.2,65.8
391454106224201,20130920,1030,WS,0.03,214,2,17.2,51.4,1.6,1.2,0.34,4.3,430,2.7,16.9,15.6,7460,2.3,7.2,5.8,0.3,92,8,182,0.13,0.02,885
391504106223001,20130920,1500,WS,0.03,68.4,2.5,8.1,3.1,0.059,0.6,0.63,6.2,360,0.37,14.2,0.59,22.3,0.6,2.6,1.3,1.05,0.9,1.9,16.2,0.53,0.11,20.1
391443106225701,20130919,1605,WS,0.104,26.9,1.7,13.5,5.5,0.25,2.2,0.47,33.3,180,0.69,13.6,1.8,28.6,0.7,5.7,11.2,2.98,0.9,5,24.1,0.075,0.087,31
391443106225701,20130919,1607,WSQ,0.03,35.7,1.7,13.1,5.6,0.095,0.75,1.1,1.5,160,0.74,13.6,1.9,30,0.43,4,0.7,0.97,0.9,5,24.9,0.06,0.059,21.7
391445106230701,20130919,1510,WG,0.03,16.2,1.5,14.2,16.4,0.19,1.7,0.53,0.99,61,1.6,7.2,6.7,34.5,0.3,4,0.3,0.3,13,8.3,40.6,0.05,0.04,163
391512106230001,20130920,1030,WG,0.03,826,0.9,25.2,83.6,31.2,0.29,0.71,31.3,60,2.8,17.3,25,483,0.67,9,46.4,3.05,140,10,387,0.46,0.18,4900
391512106230001,20130920,1032,OAQ,0.03,9.4,0.9,0.8,0.15,0.098,0.2,0.28,0.97,19,0.02,7.8,0.017,8.6,0.2,1,0.1,0.3,0.9,0.06,0.35,0.03,0.01,47
391517106230601,20130920,1135,WG,0.03,12.8,2.3,3.7,9.3,0.11,0.29,0.13,5,22,1.1,8.1,2.9,20.8,0.94,3.7,0.3,0.3,4.2,7.9,37.8,0.075,0.02,69.3
391517106230602,20130920,1235,WS,0.08,1080,2.4,32,103,44,0.4,0.4,25.2,76,3.8,18.6,37.8,8520,0.56,9,94.9,3.68,190,10,454,1.06,0.066,4190
391517106230602,20130920,1237,WSQ,0.04,1070,1.5,32.6,103,45.9,0.2,0.45,24.6,85,3.8,22.7,37,8610,0.3,8.3,97,3.1,190,10,448,1.03,0.054,4160
391518106230901,20130920,1430,WG,0.09,80.7,2.5,27.2,132,32.7,0.93,0.64,4.4,76,4.4,18.9,55.1,31100,0.3,14.1,147,0.3,270,7.6,542,0.21,0.17,3220
391519106230901,20130920,1510,WG,0.06,1430,2.3,28,37.3,64.6,0.42,0.63,40.2,31,2.3,16.4,10.7,3160,0.2,5.1,48,2.06,65,12,197,1.62,0.061,7180
391517106230701,20130920,1350,WG,0.07,734,2.5,31.4,115,30.6,0.13,0.34,19.9,17,4.1,23.6,44.1,7540,0.37,9.5,112,0.3,220,11,521,0.74,0.03,3160
391500106224901,20130919,1130,WG,0.03,18.8,1.3,27.3,0.81,0.34,0.19,0.57,5.7,14,0.02,10.9,0.28,48,0.57,1.4,1.1,0.3,0.9,0.06,3.5,0.065,0.03,24.5
391501106224901,20130919,1230,WG,0.06,1180,0.5,17.2,42.6,8.8,21.6,0.44,16.6,1400,2.8,20.1,13,13000,0.42,6.1,16.4,5.56,89,11,99,1.53,0.1,3160
391501106225401,20130920,1545,WS,0.04,628,1.7,49.3,44.5,9.8,5.2,0.48,6.1,1300,2.9,24.5,13.5,14000,0.32,5.1,8,60.4,89,9.2,157,0.56,0.053,1660
391501106225401,20130920,1542,OAQ,0.03,7.5,2.1,0.8,0.093,0.14,0.16,0.26,0.3,14,0.02,14.1,0.01,0.3,0.2,0.42,0.3,0.3,0.9,0.06,0.12,0.051,0.066,4
391504106225200,20130919,1015,WG,0.03,10.1,4.3,34.8,109,0.39,8.1,0.41,2.5,7400,2.1,25.1,34,18800,0.33,11,6.4,0.46,200,12,302,0.13,0.052,3610
391504106225201,20130920,0940,WS,0.04,590,1.4,34.7,57.7,9.7,1.9,0.58,6.3,330,2.1,20.4,15.7,1050,0.35,8.6,18.1,4.95,92,8.1,266,0.17,0.16,1950
391501106225001,20130919,1320,WG,0.203,2140,2,22.5,42,13.8,10,0.49,16.9,590,2.8,16.4,13.1,16900,1.7,7,10.3,1.81,87,11,145,2.79,0.15,2480
391501106225001,20130919,1312,OAQ,0.03,24.7,1.8,1.2,0.14,0.1,0.2,0.24,0.47,62,0.02,12,0.042,11,0.85,1.2,0.3,0.3,0.9,0.06,0.69,0.05,0.086,14.7
391513106230401,20131028,0925,WG,0.04,150,30.2,10.8,106,0.89,36.1,0.32,1.8,93000,3.1,21.5,27.3,71200,0.68,8.2,44.7,0.41,270,14,271,0.2,0.08,19000
391512106230401,20131028,0915,WG,0.05,69.6,14.6,31.7,136,0.44,11,1.3,10.7,31000,2.4,24.6,40.5,24600,1.1,12.4,8.4,8.45,240,15,383,0.02,0.064,5090
391501106230601,20130920,1350,WG,0.03,110,25.6,30,71.1,0.18,13,0.3,1.7,51000,1.5,28.4,23.8,40800,0.65,6.5,16.4,0.3,170,12,209,0.35,0.04,9650
391502106230601,20130920,1320,WS,0.915,1830,1,34,46.7,50.2,5.2,0.47,39.2,890,2.3,24.5,11.5,8850,0.64,4.5,29.9,46.3,86,13,224,3.54,0.083,8650
391502106230601,20130920,1327,WSQ,0.794,1770,2.4,34,46.1,49.8,6.5,0.59,21.3,890,2.2,22.6,11.3,8690,0.34,4.3,29.3,45.8,81,13,224,3.42,0.03,8560
391513106232601,20130920,1230,WG,0.09,256,3.6,31.5,21.8,1.2,1.5,0.53,0.7,5200,1.2,12,6.4,20500,0.32,5.4,5.2,0.3,50,7.9,96.8,0.21,0.34,546
391517106223801,20130919,1630,WG,0.03,85.6,1.6,27.1,15.8,2.7,2.7,0.15,5.7,12,1,10.5,5.3,1610,0.2,4.4,5.4,0.3,16,7.4,79.7,0.05,0.03,406
391517106223801,20130919,1637,WGQ,0.07,89.2,2.4,27.4,15.7,2.9,3.7,0.11,5.7,16,1.1,20.8,5.4,1630,0.63,4,6,0.71,17,7.4,81.8,0.18,0.04,421
391559106230901,20130919,1145,WG,0.03,455,1.9,8.3,8,2.3,1.4,0.07,1.3,8.7,0.54,24.7,8.8,3640,0.1,4.2,7,0.3,18,10,12.6,0.04,0.01,701
391606106241601,20130919,1245,WG,0.03,3210,5.7,7.1,4.3,1.3,4.9,0.38,144,12000,1.7,14.7,1.5,500,0.2,2.7,6.8,1.6,26,13,19.6,0.51,0.35,592
