USGS SID,Sample start date (yyyymmdd),Sample start time (hhmm),medium code,Sample end date (yyyymmdd),Sample end time (hhmm),01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162
391452106224201,20140923,1045,WS,,,0.5,90.9,1,6.2,0.05,0.2,3.7,0.06,0.63,0.06,1,0.02,1.1,0.052,0.03,0.02,279,0.05,0.098,0.05,0.01,0.31,0.59,2,0.1,0.82,94.3,1,0.93,0.2,0.67,0.4,0.01,0.49,0.18,0.57,1,0.6,1,4.5,0.13,20,0.1,0.01,0.2,0.9,0.1,0.005,0.62,0.5,0.5,0.29,0.01,11.7,0.2
391454106224201,20140923,1142,OAQ,,,0.5,2,1,0.2,0.05,0.2,0.2,0.02,0.01,0.02,1,0.02,0.5,0.005,0.005,0.01,20,0.05,0.01,0.05,0.005,0.03,0.01,2,0.1,0.01,0.2,1,0.01,0.2,0.01,0.4,0.01,0.05,0.01,0.01,1,0.6,1,0.2,0.01,0.5,0.1,0.005,0.2,0.5,0.1,0.005,0.1,0.5,0.5,0.01,0.01,3,0.2
391454106224201,20140923,1145,WS,,,0.5,204,1,23,0.21,0.2,60.5,2.3,0.51,0.85,1,0.04,1.7,0.095,0.04,0.02,553,0.2,0.17,0.05,0.01,2.4,0.52,2.6,0.1,16,7200,1,6.7,0.2,0.39,10.3,0.01,0.23,0.09,3.4,1,1.5,1,19,0.11,217,0.1,0.02,0.2,3.2,0.1,0.005,0.12,0.5,0.5,0.73,0.03,1180,0.2
391606106241601,20140923,1215,WG,,,0.5,2950,4,6.4,0.32,0.2,4.6,0.75,2.5,4.6,1,1.6,84.7,0.46,0.24,0.084,9140,0.07,0.69,0.05,0.095,1.7,0.73,2,0.1,1.5,509,1,2.8,0.2,2.7,6.8,0.1,2.54,0.48,12.1,1,2.3,1,30,0.58,21.4,0.1,0.082,2.15,1.3,0.46,0.03,0.42,0.5,0.5,3.3,0.18,693,0.2
391606106241601,20140923,1222,OAQ,,,0.5,5.6,1,0.2,0.05,0.2,0.2,0.02,0.03,0.02,1,0.02,0.5,0.005,0.005,0.01,20,0.05,0.01,0.05,0.005,0.03,0.01,2,0.1,0.01,0.2,1,0.01,0.2,0.01,0.4,0.01,0.05,0.01,0.01,1,0.6,1,0.2,0.01,0.5,0.1,0.005,0.2,0.5,0.1,0.005,0.1,0.5,0.5,0.01,0.01,3,0.2
391500106224901,20140923,1245,WG,,,0.5,1040,1,21,0.98,0.2,47.5,15.8,3.7,2,1,0.04,18.1,1.1,0.46,0.31,44,0.23,1.5,0.05,0.2,2.5,2.8,2.9,0.1,10.8,8320,1,4.7,0.2,3.6,28.5,0.06,0.11,0.8,1.8,1,1.8,1,22,1.1,196,0.1,0.22,0.2,2.8,0.1,0.04,1.15,0.5,0.5,5.5,0.29,3820,0.2
391500106224901,20140923,1247,WGQ,,,1.32,1660,1,28,1.7,0.2,43.8,37,9.2,6.9,1,0.04,18.8,2,0.84,0.35,1140,0.35,2.6,0.05,0.35,2,5.7,2.2,0.1,9.8,13600,1,4.2,0.2,6.2,32.3,0.01,40.7,1.4,3.4,1,1.9,1,25,1.7,195,0.1,0.39,0.2,2.8,0.1,0.09,4.68,0.5,0.5,9.6,0.5,9720,0.2
391559106230901,20140923,1355,WG,,,0.5,433,1,7.1,0.12,0.2,8.4,2.5,1.2,1.9,1,0.14,1.8,0.07,0.03,0.01,182,0.1,0.1,0.05,0.01,0.61,0.57,4.8,0.1,8.3,4070,1,4.5,0.2,0.75,5.6,0.01,0.23,0.18,2.1,1,1.7,1,23,0.13,12.4,0.1,0.01,0.2,0.9,0.1,0.005,0.1,0.5,0.5,0.39,0.02,913,0.2
391504106225200,20140923,1410,WG,,,0.559,17,24,6.8,22.4,0.2,5.9,5.8,0.07,11.7,36.7,0.02,35.5,0.01,0.009,0.01,40,0.05,0.02,0.05,0.005,0.87,0.06,2,0.1,1.1,14.8,8.3,39.2,0.2,0.08,15.4,0.2,32.6,0.02,0.78,26.5,0.6,9.7,4,0.02,34,0.1,0.005,0.2,0.5,40.8,0.005,4.26,32.6,0.5,0.05,0.01,25,0.2
391504106223001,20140923,1530,WS,,,0.5,87.6,1,6,0.05,0.2,2.9,0.04,0.62,0.05,1,0.02,1.2,0.06,0.03,0.02,268,0.05,0.093,0.05,0.01,0.3,0.57,2,0.1,0.55,14.8,1,0.86,0.2,0.7,0.4,0.01,0.67,0.17,0.57,1,0.6,1,4,0.12,16.8,0.1,0.01,0.2,1,0.17,0.005,0.73,0.5,0.5,0.28,0.01,3,0.2
391435106230801,20140923,1610,WG,,,0.5,268,1.7,24.1,0.51,0.2,36.1,6.2,1.7,7.4,1,0.31,0.52,0.41,0.18,0.065,7450,0.22,0.57,0.05,0.08,1.2,0.74,4.3,0.1,11.3,9810,1,4.9,0.2,1,12.1,0.01,6.17,0.24,5.1,1,2,1,24,0.28,82.2,0.1,0.088,0.2,1.9,0.1,0.02,1.31,0.5,0.5,2.2,0.09,3020,0.2
391517106223801,20140923,1645,WG,,,0.5,123,3,23.1,0.07,0.2,15.6,2.5,0.84,2.8,1,0.5,7.5,0.21,0.098,0.03,1520,0.05,0.28,0.05,0.04,1,0.28,2,0.1,4.7,1480,1,3.5,0.2,0.63,5.1,0.02,4.87,0.12,3.2,1,1.3,1,15,0.14,74.6,0.1,0.04,0.2,0.8,0.11,0.01,0.16,0.5,0.5,1.1,0.06,517,0.3
391443106225701,20140924,0900,WS,,,0.5,15.7,1,16.5,0.05,0.2,9,0.02,0.12,0.22,1,0.02,0.5,0.01,0.005,0.01,332,0.05,0.01,0.05,0.005,0.89,0.03,2,0.1,2.7,115,1,3.4,0.2,0.05,0.7,0.01,0.07,0.01,1.2,1,0.8,1,10,0.01,41.2,0.1,0.005,0.2,0.5,0.1,0.005,0.1,0.5,0.5,0.06,0.01,25.4,0.2
391504106225201,20140924,0900,WS,,,0.5,764,1,35.6,0.78,0.2,77.5,17.1,3.6,1.6,1,0.02,1.8,0.34,0.17,0.054,262,0.05,0.43,0.05,0.065,2.4,2.1,2,0.1,18.8,1380,1,7.8,0.2,1.2,34.3,0.01,5.62,0.31,2.6,1,1.5,1,18,0.22,328,0.1,0.061,0.2,4.3,0.1,0.02,0.14,0.5,0.5,2.8,0.11,4390,0.2
