USGS SID,Sample start date (yyyymmdd),Sample start time (hhmm),medium code,Sample end date (yyyymmdd),Sample end time (hhmm),00956
391435106230801,20130530,1405,WG,,,27.812
391435106230801,20130530,1352,OAQ,,,0.214
391452106224201,20130531,0925,WS,,,4.707
391454106224201,20130531,1020,WS,,,17.757
391504106223001,20130531,1500,WS,,,4.279
391443106225701,20130530,1600,WS,,,12.408
391443106225701,20130530,1607,WSQ,,,12.836
391517106230602,20130531,1200,WS,,,20.752
391500106224901,20130531,1050,WG,,,18.185
391500106224901,20130531,1057,WGQ,,,17.543
391501106225401,20130531,1230,WS,,,17.543
391501106225401,20130531,1212,OAQ,,,0.257
391504106225200,20130530,1230,WG,,,25.672
391504106225200,20130530,1237,WGQ,,,25.672
391504106225201,20130531,0950,WS,,,16.473
391504106225201,20130531,0952,OAQ,,,0.235
391513106230401,20130531,1620,WG,,,27.812
391512106230401,20130531,1556,WG,,,29.951
391501106230601,20130531,1305,WG,,,21.394
391502106230601,20130531,1340,WS,,,16.901
391517106223801,20130530,1730,WG,,,14.334
391559106230901,20130530,1400,WG,,,21.180
391600106235701,20130530,1430,WS,,,7.488
391606106241601,20130530,1545,WG,,,19.896
391600106235701,20130530,1432,OAQ,,,0.060
391435106230801,20130919,1445,WG,,,27.812
391435106230801,20130919,1442,OAQ,,,0.060
391452106224201,20130920,1000,WS,,,4.065
391454106224201,20130920,1030,WS,,,17.757
391504106223001,20130920,1500,WS,,,4.279
391443106225701,20130919,1605,WS,,,11.553
391443106225701,20130919,1607,WSQ,,,11.766
391512106230001,20130920,1032,OAQ,,,0.060
391517106230602,20130920,1235,WS,,,23.533
391517106230602,20130920,1237,WSQ,,,23.533
391500106224901,20130919,1130,WG,,,21.394
391501106225401,20130920,1545,WS,,,20.966
391501106225401,20130920,1542,OAQ,,,0.193
391504106225200,20130919,1015,WG,,,29.951
391504106225201,20130920,0940,WS,,,19.254
391501106225001,20130919,1312,OAQ,,,0.060
391513106230401,20131028,0925,WG,,,29.951
391512106230401,20131028,0915,WG,,,34.230
391501106230601,20130920,1350,WG,,,25.672
391502106230601,20130920,1320,WS,,,29.951
391502106230601,20130920,1327,WSQ,,,27.812
391517106223801,20130919,1630,WG,,,16.687
391517106223801,20130919,1637,WGQ,,,17.115
391559106230901,20130919,1145,WG,,,23.533
391606106241601,20130919,1245,WG,,,29.951
