PARM_CD	PARM_SEQ_GRP_CD	PARM_DS	RPT_LEV_VA	num_blanks	num_detects	num_e_detects	num_detects_10xRL	median_detected_value	max_detected_value	BD_90.90
01201	IMM	Yttrium, water, filtered, micrograms per liter	.01	15	5	0	0	0.02	0.06	0.06
01203	IMM	Yttrium, water, unfiltered, micrograms per liter	.01	15	7	0	1	0.04	0.12	0.12
01218	IMM	Terbium, water, unfiltered, micrograms per liter	.005	15	8	0	1	0.01	0.13	0.13
01219	IMM	Gadolinium, water, unfiltered, micrograms per liter	.005	15	15	0	2	0.03	0.22	0.22
01236	IMM	Europium, water, unfiltered, micrograms per liter	.005	15	15	0	1	0.01	0.13	0.13
01237	IMM	Neodymium, water, unfiltered, micrograms per liter	.01	15	8	0	2	0.0535	0.13	0.13
01238	IMM	Praseodymium, water, unfiltered, micrograms per liter	.01	15	2	0	1	0.075	0.13	0.13
01239	IMM	Niobium, water, unfiltered, micrograms per liter	.2	15	6	0	0	0.66	0.89	0.89
01244	IMM	Lutetium, water, unfiltered, micrograms per liter	.1	15	1	0	0	0.18	0.18	0.18
01245	IMM	Thulium, water, unfiltered, micrograms per liter	.005	15	3	0	1	0.03	0.13	0.13
01246	IMM	Erbium, water, unfiltered, micrograms per liter	.005	15	8	0	2	0.02	0.27	0.27
01247	IMM	Holmium, water, unfiltered, micrograms per liter	.005	15	3	0	1	0.01	0.2	0.2
50573	IMM	Erbium, water, filtered, micrograms per liter	.005	15	8	0	1	0.02	0.053	0.053
50574	IMM	Europium, water, filtered, micrograms per liter	.005	15	15	0	0	0.01	0.04	0.04
50575	IMM	Gadolinium, water, filtered, micrograms per liter	.005	15	15	0	2	0.03	0.13	0.13
50577	IMM	Holmium, water, filtered, micrograms per liter	.005	15	5	0	0	0.008	0.03	0.03
50579	IMM	Neodymium, water, filtered, micrograms per liter	.01	15	8	0	1	0.02	0.13	0.13
50580	IMM	Niobium, water, filtered, micrograms per liter	.2	15	6	0	0	0.81	1.1	1.1
50582	IMM	Praseodymium, water, filtered, micrograms per liter	.01	15	4	0	0	0.025	0.04	0.04
50586	IMM	Terbium, water, filtered, micrograms per liter	.005	15	8	0	0	0.01	0.02	0.02
50587	IMM	Thulium, water, filtered, micrograms per liter	.005	15	2	0	0	0.03	0.04	0.04
62844	IMM	Lutetium, water, filtered, micrograms per liter	.1	15	0	0	0	NA	-Inf	NA
82318	IMM	Tantalum, water, unfiltered, micrograms per liter	.02	15	15	0	5	0.1	0.68	0.68
82319	IMM	Tantalum, water, filtered, micrograms per liter	.02	15	15	0	7	0.1	0.46	0.46
82322	IMM	Samarium, water, unfiltered, micrograms per liter	.01	15	8	0	1	0.03	0.24	0.24
82323	IMM	Samarium, water, filtered, micrograms per liter	.01	15	8	0	1	0.03	0.21	0.21
82330	IMM	Dysprosium, water, unfiltered, micrograms per liter	.005	15	8	0	1	0.02	0.063	0.063
82331	IMM	Dysprosium, water, filtered, micrograms per liter	.005	15	8	0	2	0.02	0.1	0.1
90868	IMM	Iron(III), water, filtered, calculated, micrograms per liter	9	16	0	0	0	NA	-Inf	NA
90868	IMM	Iron(III), water, filtered, calculated, micrograms per liter	2	16	0	0	0	NA	-Inf	NA
00978	IMN	Arsenic, water, unfiltered, recoverable, micrograms per liter	1	15	3	0	0	1.2	1.6	1.6
01000	IMN	Arsenic, water, filtered, micrograms per liter	1	15	2	0	0	1.95	2.1	2.1
01095	IMN	Antimony, water, filtered, micrograms per liter	.3	15	15	0	0	1	1.4	1.4
01097	IMN	Antimony, water, unfiltered, micrograms per liter	.3	15	14	0	0	1	1.7	1.7
01125	IMN	Germanium, water, filtered, micrograms per liter	.05	15	1	0	0	0.057	0.057	0.057
01127	IMN	Germanium, water, unfiltered, micrograms per liter	.05	15	2	0	0	0.1505	0.23	0.23
01145	IMN	Selenium, water, filtered, micrograms per liter	1	15	1	0	0	2.5	2.5	2.5
01147	IMN	Selenium, water, unfiltered, micrograms per liter	1	15	5	0	0	1.8	2.3	2.3
00915	INM	Calcium, water, filtered, milligrams per liter	.2	15	1	0	0	0.34	0.34	0.34
00916	INM	Calcium, water, unfiltered, recoverable, milligrams per liter	.2	15	4	0	0	0.57	0.94	0.94
00925	INM	Magnesium, water, filtered, milligrams per liter	.01	15	7	0	0	0.017	0.078	0.078
00927	INM	Magnesium, water, unfiltered, recoverable, milligrams per liter	.01	15	7	0	2	0.031	0.26	0.26
00929	INM	Sodium, water, unfiltered, recoverable, milligrams per liter	.01	15	8	0	8	1.2	1.8	1.8
00930	INM	Sodium, water, filtered, milligrams per liter	.01	15	8	0	8	0.82	1.2	1.2
00935	INM	Potassium, water, filtered, milligrams per liter	.03	15	2	0	0	0.05	0.06	0.06
00937	INM	Potassium, water, unfiltered, recoverable, milligrams per liter	.03	15	3	0	0	0.06	0.07	0.07
00940	INN	Chloride, water, filtered, milligrams per liter	.06	16	0	0	0	NA	-Inf	NA
00940	INN	Chloride, water, filtered, milligrams per liter	.02	16	0	0	0	NA	-Inf	NA
00945	INN	Sulfate, water, filtered, milligrams per liter	.09	16	3	0	0	0.023	0.027	0.027
00945	INN	Sulfate, water, filtered, milligrams per liter	.02	16	3	0	0	0.023	0.027	0.027
00946	INN	Sulfate, water, unfiltered, milligrams per liter	2	15	3	0	0	8.7	11.4	11.4
00954	INN	Silica, water, unfiltered, recoverable, micrograms per liter as SiO2	.2	15	3	0	0	0.235329891	0.256723518	0.256723518
00955	INN	Silica, water, filtered, milligrams per liter as SiO2	.2	15	0	0	0	NA	-Inf	NA
00665	NUT	Phosphorus, water, unfiltered, milligrams per liter as phosphorus	.01	15	8	0	0	0.04	0.07	0.07
00666	NUT	Phosphorus, water, filtered, milligrams per liter as phosphorus	.01	15	5	0	0	0.04	0.06	0.06
22703	RAD	Uranium (natural), water, filtered, micrograms per liter	.1	15	0	0	0	NA	-Inf	NA
22704	RAD	Uranium, water, unfiltered, recoverable, micrograms per liter	.1	15	1	0	0	0.14	0.14	0.14
82364	RAD	Thorium, water, unfiltered, micrograms per liter	.2	15	3	0	0	0.32	0.61	0.61
82365	RAD	Thorium, water, filtered, micrograms per liter	.2	15	1	0	0	0.42	0.42	0.42
